campground,recgov_url,modesto_drive_estimate,modesto_distance_estimate,citrus_heights_drive_estimate,citrus_heights_distance_estimate,price_per_night,site_count,fit_type,amenities,recommendation,review_signal,listing_summary,caution,2_night_arrival_windows,3_night_arrival_windows
STUMPY MEADOWS,https://www.recreation.gov/camping/campgrounds/232107,about 3 hr 15 min,137 mi,about 1 hr 45 min,56 mi,$36-$72,38 sites,Multiple sites needed,"Drinking Water, Vault Toilets, Pets Allowed, Hiking, Fishing, Camping, Boating","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Strong review signal: 4.1/5 from 56 Recreation.gov ratings.,"Stumpy Meadows, on the Stumpy Meadows Reservoir, provides an enjoyable setting in a heavy conifer forest with easy access to an array of water activities. Campers come here to while away... The crystal clear reservoir is stocked with both Rainbow and German Brown Trout, providing excellent fishing during the season. The lake is a grand place for a swim. Kayaking and canoeing...","Fire restrictions can change in hot, dry weather.","Jul 19-Jul 22, Jul 26-Jul 29, Aug 2-Aug 30","Jul 19-Jul 21, Jul 26-Jul 28, Aug 2-Aug 29"
GIANT GAP,https://www.recreation.gov/camping/campgrounds/232888,about 3 hr 5 min,137 mi,about 1 hr 25 min,50 mi,$24-$48,27 sites,Multiple sites needed,"Vault Toilets, Picnic Tables, Swimming Site, Hiking, Fishing, Camping, Boating","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Strong review signal: 4.2/5 from 169 Recreation.gov ratings.,"Giant Gap Campground is located on the north shore of Sugar Pine Reservoir, in the Tahoe National Forest. It is just 15 miles from Foresthill. Visitors enjoy the surrounding area for its... Fishing, canoeing, swimming and boating are popular activities on the reservoir. A paved, non-motorized trail circles the campground and connects to the day use area and Shirttail Creek...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 26-Jul 30, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 27, Aug 29-Aug 30","Jul 19-Jul 21, Jul 26-Jul 29, Aug 2-Aug 4, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 26, Aug 29"
SHIRTTAIL CREEK,https://www.recreation.gov/camping/campgrounds/232887,about 3 hr,136 mi,about 1 hr 25 min,50 mi,$24-$72,29 sites,Multiple sites needed,"Drinking Water, Picnic Tables, Grills, Pets Allowed, Swimming, Hiking, Fishing","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Strong review signal: 4.2/5 from 120 Recreation.gov ratings.,"Shirttail Campground is located on the north shore of Sugar Pine Reservoir, in the Tahoe National Forest, 15 miles from Foresthill. Visitors enjoy the area for its fishing, boating, OHV... Fishing, swimming and both motorized and non-motorized boating are popular activities on the reservoir. A paved, non-motorized accessible trail connects recreation sites on the north shore...",Bear-area food storage rules may apply.,"Jul 19-Jul 23, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 12, Aug 15-Aug 30","Jul 19-Jul 22, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 11, Aug 15-Aug 29"
SUNSET-UNION VALLEY,https://www.recreation.gov/camping/campgrounds/232083,about 3 hr 20 min,143 mi,about 1 hr 55 min,72 mi,$36-$145,119 sites,Multiple sites needed,"Drinking Water, Vault Toilets, Showers, Picnic Area, Grills, Firewood, Swimming Site","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Strong review signal: 4.3/5 from 269 Recreation.gov ratings.,"Sunset Campground is situated on the shores of Union Valley Reservoir, among the towering cedar and ponderosa pines of Eldorado National Forest. Aptly named, the campground is a fantastic... On the water, sailing, boating and swimming are very popular. For hikers and bikers, the Union Valley Bike Trail and Bassi Falls Hiking Trail are great for exploring. Fishing in the lake...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 29, Aug 1-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 26, Aug 30","Jul 19-Jul 20, Aug 3-Aug 4, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 25"
FASHODA,https://www.recreation.gov/camping/campgrounds/234135,about 3 hr 15 min,142 mi,about 1 hr 50 min,71 mi,$36,30 sites,Multiple sites needed,"Drinking Water, Showers, Grills, Parking Area, Pets Allowed, Wildlife Viewing, Hunting",Good alternate if the dates work. Use the site map to keep multiple reservations close together.,Mixed-to-positive review signal: 3.9/5 from 77 Recreation.gov ratings.,"Fashoda Campground, located on a peninsula of the eastern side of Union Valley Reservoir, is an incredibly scenic place to camp. The lake area is a hub for activities like swimming... Head out on a sailboat or take the family water skiing. Union Valley offers a number of water activities. Anglers seek rainbow, brown and mackinaw trout and Kokanee salmon. The Union Valley...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 30","Jul 19-Jul 21, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 29"
WOLF CREEK CALIFORNIA,https://www.recreation.gov/camping/campgrounds/232366,about 3 hr 30 min,148 mi,about 2 hr 10 min,78 mi,$36-$170,44 sites,Multiple sites needed,"Lake Access, Drinking Water, Vault Toilets, Picnic Area, Grills, Parking Area, Pets Allowed","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Very strong review signal: 4.4/5 from 74 Recreation.gov ratings.,"Wolf Creek Campground is a modern facility on the north shore of Union Valley Reservoir. The reservoir offers plenty of opportunities for water activities like sailing, boating, swimming... The paved Union Valley Bike Trail spans 4.8 miles with an easy climb of 300 feet. The trail connects campgrounds on the east side of the lake, starting from Wench Creek on down to Jones...",Bear-area food storage rules may apply.,"Jul 19-Jul 21, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 30","Jul 19-Jul 20, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 29"
YELLOWJACKET,https://www.recreation.gov/camping/campgrounds/232125,about 3 hr 25 min,147 mi,about 2 hr,76 mi,$36-$72,36 sites,Multiple sites needed,"Lake Access, Drinking Water, Vault Toilets, Picnic Area, Grills, Boat Ramp, Parking Area","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Very strong review signal: 4.5/5 from 71 Recreation.gov ratings.,"Yellowjacket Campground provides plenty of opportunities for outdoor fun on Union Valley Reservoir. The water plays host to an array of activities like water skiing and fishing. The... The Union Valley Bike Trail spans 4.8 miles with an easy climb of 300 feet. The trail connects campgrounds on the east side of the lake, from Jones Fork Campground to Wench Creek, and is...",Bear-area food storage rules may apply.,"Jul 22, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 30","Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 29"
WENCH CREEK,https://www.recreation.gov/camping/campgrounds/232121,about 3 hr 20 min,144 mi,about 1 hr 55 min,74 mi,$36-$160,100 sites,Multiple sites needed,"Lake Access, Drinking Water, Vault Toilets, Picnic Area, Grills, Pets Allowed, Firewood","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Mixed-to-positive review signal: 3.5/5 from 93 Recreation.gov ratings.,"Wench Creek Campground is located in a beautiful ponderosa pine forest on the east shore of Union Valley Reservoir. The campground has 2 group campsites and several single family campsites... The Union Valley Bike Trail spans 4.8 miles with an easy climb of 300 feet. The trail connects campgrounds on the east side of the lake, starting from Wench Creek on to the Jones Fork...",Bear-area food storage rules may apply.,"Jul 17-Jul 22, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 30","Jul 17, Jul 19-Jul 21, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 11, Aug 16-Aug 29"
ICE HOUSE,https://www.recreation.gov/camping/campgrounds/232061,about 3 hr,137 mi,about 1 hr 40 min,66 mi,$36-$108,79 sites,Multiple sites needed,"Drinking Water, Vault Toilets, Showers, Picnic Area, Grills, Pets Allowed, Dump Station",Good alternate if the dates work. Use the site map to keep multiple reservations close together.,Very strong review signal: 4.5/5 from 200 Recreation.gov ratings.,"Ice House Campground is surrounded by a mixed conifer forest on the shores of Ice House Reservoir. Just 12 miles from Riverton, CA, the campground offers hiking, biking, jet skiing and... Enjoy swimming, fishing, and boating on Ice House Reservoir. Rainbow, brown, and trout swim in these waters. A boat ramp is located on-site. Hike or bike on the Ice House Mountain Bike...",Bear-area food storage rules may apply.,"Jul 17-Jul 18, Jul 20-Jul 22, Jul 26-Jul 29, Aug 2-Aug 3, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 26, Aug 30","Jul 17, Jul 20-Jul 21, Jul 26-Jul 28, Aug 2, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 25"
GERLE CREEK,https://www.recreation.gov/camping/campgrounds/232049,about 3 hr 45 min,154 mi,about 2 hr 25 min,83 mi,$36-$72,50 sites,Multiple sites needed,"Water, Vault Toilets, Picnic Area, Parking Area, Pets Allowed, Swimming Site, Hiking","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Very strong review signal: 4.7/5 from 195 Recreation.gov ratings.,"Gerle Creek Campground is nestled on the banks of the Gerle Creek Fork among a lush forest of hardwoods. The area provides lots of opportunity for fishing and water play. Hiking and biking... Swimming, canoeing, kayaking and fishing are some of the fun things to do on the creek. Common fish species include brown and rainbow trout. An accessible fishing dock is located on-site...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 26, Aug 30","Jul 19-Jul 21, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 25"
FRENCH MEADOWS,https://www.recreation.gov/camping/campgrounds/232047,about 4 hr 10 min,162 mi,about 2 hr 30 min,76 mi,$24,61 sites,Multiple sites needed,"Drinking Water, Vault Toilets, Hiking, Fishing, Camping, Boating, Biking","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Strong review signal: 4.3/5 from 148 Recreation.gov ratings.,"French Meadows Campground is located along the shores French Meadows Reservoir, about 40 miles from the town of Foresthill. Visitors enjoy the area for its fishing, boating and trail... Popular activities on the reservoir include boating, canoeing, fishing and swimming. A boat ramp is located adjacent to the campground. The North Fork American River can be accessed nearby...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 26-Jul 30, Aug 1-Aug 30","Jul 19-Jul 21, Jul 26-Jul 29, Aug 1-Aug 29"
LOON LAKE,https://www.recreation.gov/camping/campgrounds/232070,about 3 hr 50 min,155 mi,about 2 hr 25 min,85 mi,$30-$160,60 sites,Multiple sites needed,"Drinking Water, Vault Toilets, Picnic Area, Grills, Parking Area, Pets Allowed, Hiking",Good alternate if the dates work. Use the site map to keep multiple reservations close together.,Mixed-to-positive review signal: 3.8/5 from 169 Recreation.gov ratings.,"Loon Lake Campground is situated on the south shores of Loon Lake, and attracts many visitors with its variety of campsites and beautiful waterfront setting. Popular activities include... Anglers delight in fishing for rainbow and brown trout, while boaters head out for water skiing. Five picnic areas in the campground and a day-use area provide visitors with nice lake views.",Bear-area food storage rules may apply.,"Jul 17-Jul 29, Aug 2-Aug 30","Jul 17-Jul 20, Jul 22-Jul 28, Aug 2-Aug 29"
Northshore Campground - Loon Lake,https://www.recreation.gov/camping/campgrounds/10049525,about 4 hr,157 mi,about 2 hr 35 min,87 mi,$36-$72,24 sites,Multiple sites needed,"Lake Access, Drinking Water, Pets Allowed, Firewood, Boating, Camping, Fishing","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Strong review signal: 4.3/5 from 54 Recreation.gov ratings.,"23 miles east of Placerville on Highway 50 and 31 miles north on Ice House Road (Forest Road 3), take the Loon Lake fork. Swimming and Fishing Boat Ramp at Loon Lake Campground Picnic Area (5 sites) at the Loon Lake Boat Ramp Rubicon OHV Trail (summer) Hiking and horseback riding in Desolation Wilderness...",Bear-area food storage rules may apply.,"Jul 17-Jul 22, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 26, Aug 30","Jul 17-Jul 21, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 25"
WRIGHTS LAKE,https://www.recreation.gov/camping/campgrounds/231954,about 3 hr 25 min,149 mi,about 2 hr 5 min,78 mi,$33.97-$72,65 sites,Multiple sites needed,"Vault Toilets, Swimming Site, Day Use Area, Fishing, Camping, Birding, Hiking","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Strong review signal: 4.3/5 from 127 Recreation.gov ratings.,"Wrights Lake Campground is situated in the timber belt, close to the lake shore, looking up at the majestic rocky peaks of the Sierra Nevadas and Desolation Wilderness. The area is... The campground provides access to the lake, where visitors enjoy trout fishing, swimming and boating activities. Motorboats are prohibited in the area. Hikers will enjoy access to multiple...",Bear-area food storage rules may apply.,Aug 30,No 3-night window found
SOUTH SHORE CAMPGROUND,https://www.recreation.gov/camping/campgrounds/234111,about 2 hr 40 min,110 mi,about 2 hr 15 min,84 mi,$33.97-$108,21 sites,Multiple sites needed,"Swimming Site, Fishing, Camping, Boating, Biking","Good paddle-board or small-boat candidate. Since this is not a single group site, check the map for same-loop sites before booking.",Mixed-to-positive review signal: 3.8/5 from 32 Recreation.gov ratings.,"South Shore Campground is located next to Lower Bear River Reservoir in the Eldorado National Forest the central Sierra Nevada Mountains. It's a prime location for fishing and boating. Lower Bear Reservoir covers 166 acres and has 2.5 miles of shoreline. Activities include fishing, swimming, boating, canoeing and picnicking. Anglers may catch rainbow, brown and mackinaw...",Bear-area food storage rules may apply.,"Jul 19-Jul 22, Jul 26-Jul 29, Aug 2-Aug 5, Aug 9-Aug 30","Jul 19-Jul 21, Jul 26-Jul 28, Aug 2-Aug 4, Aug 9-Aug 29"
Meeks Bay Resort,https://www.recreation.gov/camping/campgrounds/10220612,about 3 hr 50 min,178 mi,about 2 hr 20 min,109 mi,$9-$625,94 sites,Multiple sites needed,"Lake Access, Drinking Water, Flush Toilets, Showers, Picnic Area, Picnic Tables, Parking Area","Best for a classic Tahoe trip. Availability exists, but staying together will depend on finding nearby standard sites on the Recreation.gov map.",Mixed-to-positive review signal: 3.9/5 from 199 Recreation.gov ratings.,"NO PETS ARE ALLOWED ANYWHERE AT THE RESORT! Meeks Bay Resort has a long tradition as a family vacation and holiday retreat. It is located on western shore of the famed Lake Tahoe (Da ow... When most people imagine what to do at Lake Tahoe, they think outdoor activities. Enthusiasts will find hundreds of miles of trails to hike, bike, and ride horseback. The Meeks Bay Resort...",Bear-area food storage rules may apply.,"Jul 28-Jul 29, Aug 2-Aug 5, Aug 9-Aug 12, Aug 16-Aug 21, Aug 23-Aug 26, Aug 30","Jul 28, Aug 3-Aug 4, Aug 9-Aug 11, Aug 16-Aug 20, Aug 23-Aug 25"
KASPIAN CAMPGROUND,https://www.recreation.gov/camping/campgrounds/232875,about 3 hr 45 min,189 mi,about 2 hr 10 min,102 mi,$30,9 sites,Multiple sites needed,"Parking Area, Swimming Site, Water Sports, Hiking, Fishing, Interpretive Programs, Camping","Best for a classic Tahoe trip. Availability exists, but staying together will depend on finding nearby standard sites on the Recreation.gov map.",Mixed-to-positive review signal: 3.8/5 from 56 Recreation.gov ratings.,"Kaspian Campground is located in a mature forest of pine trees overlooking the beautiful Lake Tahoe. Campers will be nestled in a sparse forest of pine trees and evergreen shrubs, just... Kaspian Campground is ideal for visitors planning a full day of biking around Lake Tahoe. Bike trails that traverse the western shores of the lake begin near the campground. Visitors enjoy...",Bear-area food storage rules may apply.,"Jul 21, Jul 29, Aug 3-Aug 4, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 26, Aug 30","Aug 3, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 25"
WILLIAM KENT CAMPGROUND,https://www.recreation.gov/camping/campgrounds/232874,about 3 hr 45 min,187 mi,about 2 hr 5 min,100 mi,$42-$116,81 sites,Multiple sites needed,"Swimming Site, Water Sports, Visitor Center, Fishing, Interpretive Programs, Camping, Boating","Best for a classic Tahoe trip. Availability exists, but staying together will depend on finding nearby standard sites on the Recreation.gov map.",Very strong review signal: 4.5/5 from 606 Recreation.gov ratings.,"William Kent Campground is conveniently located on Lake Tahoe's west shore, a few miles south of Tahoe City. It straddles the highway and features not only a large area in which to camp... Just minutes away from the campground, 22-mile-long Lake Tahoe provides sunbathing, swimming, boating and water skiing. Anglers can look forward to healthy fish populations of kokanee...",Bear-area food storage rules may apply.,"Jul 22, Jul 27-Jul 29, Aug 2, Aug 4-Aug 5, Aug 9-Aug 12, Aug 16-Aug 19, Aug 23-Aug 26, Aug 30","Jul 27-Jul 28, Aug 9-Aug 11, Aug 16-Aug 18, Aug 23-Aug 25"
FALLEN LEAF CAMPGROUND,https://www.recreation.gov/camping/campgrounds/232769,about 3 hr 35 min,165 mi,about 2 hr 10 min,95 mi,$47-$126,204 sites,Multiple sites needed,"Flush Toilets, Swimming Site, Wildlife Viewing, Water Sports, Visitor Center, Hiking, Fishing","Best for a classic Tahoe trip. Availability exists, but staying together will depend on finding nearby standard sites on the Recreation.gov map.",Very strong review signal: 4.5/5 from 1459 Recreation.gov ratings.,"Fallen Leaf Campground is situated on the north shore of Fallen Leaf Lake and adjacent to Taylor Creek. The south shore of Lake Tahoe is less than a mile away. The campground features 206... Both Fallen Leaf Lake and Lake Tahoe offer opportunities for non-motorized and motorized boating, tubing, waterskiing and windsurfing. Fishing is available at both lakes, but anglers...","Fire restrictions can change in hot, dry weather.",Aug 23-Aug 26,Aug 23-Aug 25
(Lake Alpine) Lodgepole Campground,https://www.recreation.gov/camping/campgrounds/232343,about 2 hr 30 min,100 mi,about 3 hr 5 min,120 mi,$32-$120,19 sites,Multiple sites needed,"Swimming Site, Visitor Center, Camping, Boating, Backpacking, Day Use Area, Disc Golf",Best for the Lake Alpine vibe we already like. Plan on booking several nearby sites and checking the campground map carefully.,Strong review signal: 4.2/5 from 35 Recreation.gov ratings.,"Lodgepole Group Campground is located just two miles west of Lake Alpine in northern California. The campground affords breathtaking views of the surrounding Stanislaus National Forest... Lake Alpine provides a wide variety of recreation opportunities. Hike, bike, or ride a horse on Bear Valley, an accessible trail that winds along the lakeshore to the community of Bear...",Bear-area food storage rules may apply.,"Jul 17, Jul 19-Jul 22, Jul 26-Jul 30, Aug 2-Aug 30","Jul 19-Jul 21, Jul 26-Jul 29, Aug 2-Aug 29"
